X,Y,osm_id,code,fclass,name,x,y
19.0314484,47.5070666,2055979445,2 501,supermarket,CBA,19.031,47.507
19.0637294,47.5791901,4939176378,2 511,convenience,Serman Jánosné,19.064,47.579
19.0691681,47.4918089,2058949549,2 401,hotel,Central Hotel 21,19.069,47.492
19.0230116,47.5062173,3517904031,2 006,telephone,,19.023,47.506
19.0628067,47.4978015,3518739227,2 405,hostel,Maverick City Lodge,19.063,47.498
19.0837935,47.5001782,3518775228,2 602,atm,,19.084,47.500
19.0565379,47.5009215,3520839994,2 519,optician,Vision Express,19.057,47.501
18.985908,47.4770942,2085052612,2 511,convenience,Mókus Csemege,18.986,47.477
19.0554833,47.4906815,3521866916,2 561,hairdresser,Prókai's Barber Shop,19.055,47.491
19.0289926,47.5022712,3521976534,2 724,memorial,2-es huszárok emlékműve,19.029,47.502
19.0616627,47.4305696,3523477393,2 005,post_office,Csepel 6 posta,19.062,47.431
19.0351316,47.4676585,2087018643,2 101,pharmacy,Angelika Patika,19.035,47.468
19.052859,47.5015619,4939177621,2 304,pub,Zizi Tapas And Bubbles,19.053,47.502
19.0636945,47.4304662,3523493477,2 302,fast_food,,19.064,47.430
19.0138142,47.4773857,2087024041,2 903,drinking_water,,19.014,47.477
19.0710384,47.5019841,2087579663,2 561,hairdresser,,19.071,47.502
19.0711563,47.5020467,2087579671,2 543,doityourself,,19.071,47.502
19.1356393,47.5052562,4939177013,2 304,pub,Sörpatika,19.136,47.505
19.0199329,47.4908175,2077691963,2 724,memorial,,19.020,47.491
19.0449461,47.5416569,3515153955,2 008,town_hall,Budapest Főváros III. kerület Óbuda-Békásmegyer Önkormányzata – Polgármesteri Hivatal,19.045,47.542
19.0203379,47.4908284,2077692033,2 724,memorial,,19.020,47.491
19.0209575,47.4907922,2077692036,2 724,memorial,,19.021,47.491
19.0218668,47.4906852,2077695522,2 902,bench,,19.022,47.491
19.0202655,47.4907795,2077695684,2 902,bench,,19.020,47.491
19.0209575,47.4907342,2077695878,2 902,bench,,19.021,47.491
19.0713758,47.4269358,2077851088,2 030,recycling,,19.071,47.427
18.9848655,47.4349615,3516045132,2 701,tourist_info,VI. A természet védelme,18.985,47.435
18.9876364,47.4373664,3516045133,2 701,tourist_info,IV. Ökológia,18.988,47.437
18.9850393,47.4350776,3516045135,2 741,picnic_site,,18.985,47.435
19.0706153,47.4885802,4939177034,2 304,pub,Story,19.071,47.489
19.0292076,47.5494466,4939177035,2 301,restaurant,Ínyenc Kert Étterem,19.029,47.549
19.0698974,47.4864367,2080496967,2 301,restaurant,Trattoria Venezia,19.070,47.486
